# MEAN_SAMPLE_SIZE = 4338
# TOTAL_GENES = 18300
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
KEGG_ARACHIDONIC_ACID_METABO...          SET      58     -0.20324    -0.011424      0.11134      0.96602 KEGG_ARACHIDONIC_ACID_METABOLISM
KEGG_LINOLEIC_ACID_METABOLISM            SET      29     -0.15432   -0.0061386      0.15184      0.84526 KEGG_LINOLEIC_ACID_METABOLISM
KEGG_ALPHA_LINOLENIC_ACID_ME...          SET      19     -0.12986   -0.0041824      0.19663      0.74551 KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
KEGG_SPHINGOLIPID_METABOLISM             SET      38    -0.096331   -0.0043853      0.13179      0.76758 KEGG_SPHINGOLIPID_METABOLISM
KEGG_GLYCOSPHINGOLIPID_BIOSY...3         SET      26    -0.049528   -0.0018656      0.16938      0.61501 KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES
KEGG_GLYCOSPHINGOLIPID_BIOSY...2         SET      13      0.28592    0.0076182      0.22837      0.10529 KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES
KEGG_GLYCOSPHINGOLIPID_BIOSY...1         SET      15      0.17561    0.0050259       0.2259      0.21847 KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES
KEGG_RIBOFLAVIN_METABOLISM               SET      15     -0.21636    -0.006192      0.19849      0.86214 KEGG_RIBOFLAVIN_METABOLISM
KEGG_NICOTINATE_AND_NICOTINA...          SET      24      0.13957    0.0050514      0.17902      0.21781 KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM
KEGG_PANTOTHENATE_AND_COA_BI...          SET      16      0.23914    0.0070683      0.20033       0.1163 KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS
KEGG_AMINOACYL_TRNA_BIOSYNTH...          SET      40      0.11683    0.0054561      0.15302       0.2226 KEGG_AMINOACYL_TRNA_BIOSYNTHESIS
KEGG_BASAL_TRANSCRIPTION_FAC...          SET      32      0.10001    0.0041787      0.16098       0.2672 KEGG_BASAL_TRANSCRIPTION_FACTORS
KEGG_NON_HOMOLOGOUS_END_JOIN...          SET      13      0.20581    0.0054837       0.2562       0.2109 KEGG_NON_HOMOLOGOUS_END_JOINING
KEGG_SNARE_INTERACTIONS_IN_V...          SET      36      0.14082      0.00624      0.14186      0.16044 KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT
KEGG_LYSOSOME                            SET     116     0.069044    0.0054798     0.073644      0.17425 KEGG_LYSOSOME
KEGG_CARDIAC_MUSCLE_CONTRACT...          SET      69      0.15641    0.0095866      0.10061     0.060035 KEGG_CARDIAC_MUSCLE_CONTRACTION
KEGG_RENIN_ANGIOTENSIN_SYSTEM            SET      15    -0.030073  -0.00086067      0.23801      0.55027 KEGG_RENIN_ANGIOTENSIN_SYSTEM
KEGG_CIRCADIAN_RHYTHM_MAMMAL             SET      13    -0.018037  -0.00048058      0.26618      0.52701 KEGG_CIRCADIAN_RHYTHM_MAMMAL
KEGG_TASTE_TRANSDUCTION                  SET      50     0.082042    0.0042827      0.13817      0.27633 KEGG_TASTE_TRANSDUCTION
KEGG_PROXIMAL_TUBULE_BICARBO...          SET      21      0.26291    0.0089012       0.1795     0.071516 KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION
KEGG_PATHOGENIC_ESCHERICHIA_...          SET      54    0.0059222   0.00032124       0.1193      0.48021 KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION
KEGG_SYSTEMIC_LUPUS_ERYTHEMA...          SET     120    -0.061553   -0.0049682      0.09782       0.7354 KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS
KEGG_PRIMARY_IMMUNODEFICIENCY            SET      31    -0.029988   -0.0012332       0.1805      0.56598 KEGG_PRIMARY_IMMUNODEFICIENCY
KEGG_HYPERTROPHIC_CARDIOMYOP...          SET      80      0.18122     0.011956     0.095306      0.02863 KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
KEGG_ARRHYTHMOGENIC_RIGHT_VE...          SET      71     0.019948    0.0012401     0.099994      0.42094 KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC
KEGG_DILATED_CARDIOMYOPATHY              SET      86      0.22137      0.01514     0.094694     0.009709 KEGG_DILATED_CARDIOMYOPATHY
PID_HDAC_CLASSII_PATHWAY                 SET      31     0.040116    0.0016497      0.15286       0.3965 PID_HDAC_CLASSII_PATHWAY
PID_DNA_PK_PATHWAY                       SET      16      0.38706      0.01144        0.237     0.051229 PID_DNA_PK_PATHWAY
PID_INTEGRIN_CS_PATHWAY                  SET      26      0.12083    0.0045512       0.1534      0.21546 PID_INTEGRIN_CS_PATHWAY
PID_ARF6_TRAFFICKING_PATHWAY             SET      48     -0.15762    -0.008062      0.11397      0.91666 PID_ARF6_TRAFFICKING_PATHWAY
PID_ILK_PATHWAY                          SET      44       0.2869     0.014052      0.13534      0.01702 PID_ILK_PATHWAY
PID_CIRCADIAN_PATHWAY                    SET      15     -0.24355   -0.0069701      0.25049      0.83454 PID_CIRCADIAN_PATHWAY
PID_HDAC_CLASSI_PATHWAY                  SET      62     0.016182    0.0009403      0.10369      0.43799 PID_HDAC_CLASSI_PATHWAY
PID_CONE_PATHWAY                         SET      20    -0.021562  -0.00071246      0.20307      0.54228 PID_CONE_PATHWAY
PID_ERB_GENOMIC_PATHWAY                  SET      14    0.0063543   0.00017569      0.24653      0.48972 PID_ERB_GENOMIC_PATHWAY
PID_VEGF_VEGFR_PATHWAY                   SET       9     -0.34197   -0.0075822      0.31274       0.8629 PID_VEGF_VEGFR_PATHWAY
PID_MYC_PATHWAY                          SET      25      -0.2689   -0.0099324      0.16878      0.94443 PID_MYC_PATHWAY
PID_RANBP2_PATHWAY                       SET      11     -0.10376   -0.0025432      0.25957      0.65532 PID_RANBP2_PATHWAY
PID_AR_TF_PATHWAY                        SET      50     0.049456    0.0025816      0.11519      0.33385 PID_AR_TF_PATHWAY
PID_RXR_VDR_PATHWAY                      SET      26      -0.1958   -0.0073753      0.15112      0.90244 PID_RXR_VDR_PATHWAY
PID_INTEGRIN2_PATHWAY                    SET      28     0.014258   0.00055732      0.15284      0.46284 PID_INTEGRIN2_PATHWAY
PID_CMYB_PATHWAY                         SET      82    -0.081608   -0.0054507     0.089876      0.81806 PID_CMYB_PATHWAY
PID_ERA_GENOMIC_PATHWAY                  SET      63     0.053343    0.0031245      0.10693      0.30895 PID_ERA_GENOMIC_PATHWAY
PID_RHODOPSIN_PATHWAY                    SET      21      0.05878    0.0019901      0.20814      0.38882 PID_RHODOPSIN_PATHWAY
PID_RETINOIC_ACID_PATHWAY                SET      30     -0.19648   -0.0079491       0.1374      0.92363 PID_RETINOIC_ACID_PATHWAY
PID_INTEGRIN5_PATHWAY                    SET      17      0.23862    0.0072696      0.19359      0.10887 PID_INTEGRIN5_PATHWAY
PID_HNF3A_PATHWAY                        SET      43    -0.069546   -0.0033673      0.13416       0.6979 PID_HNF3A_PATHWAY
NABA_COLLAGENS                           SET      42    -0.007252  -0.00034703      0.13928      0.52076 NABA_COLLAGENS
NABA_ECM_GLYCOPROTEINS                   SET     188      -0.1459    -0.014712     0.064777      0.98784 NABA_ECM_GLYCOPROTEINS
NABA_ECM_REGULATORS                      SET     233    -0.033697    -0.003778     0.058842      0.71656 NABA_ECM_REGULATORS
NABA_ECM_AFFILIATED                      SET     163     0.030703    0.0028848     0.069894      0.33023 NABA_ECM_AFFILIATED
NABA_PROTEOGLYCANS                       SET      33     -0.22444   -0.0095225      0.16031      0.91924 NABA_PROTEOGLYCANS
NABA_SECRETED_FACTORS                    SET     330     -0.14009    -0.018643     0.052162      0.99638 NABA_SECRETED_FACTORS
NABA_CORE_MATRISOME                      SET     263     -0.13609    -0.016197     0.055687      0.99273 NABA_CORE_MATRISOME
NABA_MATRISOME_ASSOCIATED                SET     726    -0.064006    -0.012494     0.034138      0.96959 NABA_MATRISOME_ASSOCIATED
NABA_BASEMENT_MEMBRANES                  SET      38      0.01817   0.00082713      0.14498      0.45013 NABA_BASEMENT_MEMBRANES
NABA_MATRISOME                           SET     989    -0.086451    -0.019547     0.029575      0.99826 NABA_MATRISOME
WP_B_CELL_RECEPTOR_SIGNALING...          SET      93     0.021397    0.0015215     0.086459      0.40227 WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY
WP_TRANSSULFURATION_PATHWAY              SET      10    -0.018395   -0.0004299      0.23021      0.53184 WP_TRANSSULFURATION_PATHWAY
WP_NANOPARTICLE_TRIGGERED_AU...          SET      22     -0.10036   -0.0034776      0.16885      0.72386 WP_NANOPARTICLE_TRIGGERED_AUTOPHAGIC_CELL_DEATH
WP_BENZENE_METABOLISM                    SET       6     0.036659   0.00066369      0.26889      0.44578 WP_BENZENE_METABOLISM
WP_MAMMARY_GLAND_DEVELOPMENT...1         SET      15    -0.069991   -0.0020031       0.2157      0.62721 WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_EMBRYONIC_DEVELOPMENT_STAGE_1_OF_4
WP_CODEINE_AND_MORPHINE_META...          SET      15      0.35356     0.010118      0.22782     0.060349 WP_CODEINE_AND_MORPHINE_METABOLISM
WP_CALCIUM_REGULATION_IN_THE...          SET     148      0.16377     0.014669     0.071734     0.011221 WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL
WP_MIR517_RELATIONSHIP_WITH_...          SET       5      0.35718    0.0059033      0.33694      0.14456 WP_MIR517_RELATIONSHIP_WITH_ARCN1_AND_USP1
WP_ALANINE_AND_ASPARTATE_MET...          SET      12     -0.30474   -0.0078012      0.21816      0.91876 WP_ALANINE_AND_ASPARTATE_METABOLISM
WP_MICRORNA_NETWORK_ASSOCIAT...          SET       4      0.61555    0.0090997      0.39199     0.058185 WP_MICRORNA_NETWORK_ASSOCIATED_WITH_CHRONIC_LYMPHOCYTIC_LEUKEMIA
WP_WHITE_FAT_CELL_DIFFERENTI...          SET      32     -0.16574   -0.0069247      0.15697      0.85447 WP_WHITE_FAT_CELL_DIFFERENTIATION
WP_EGFEGFR_SIGNALING_PATHWAY             SET     155    -0.020107   -0.0018427     0.064587      0.62222 WP_EGFEGFR_SIGNALING_PATHWAY
WP_DNA_REPLICATION                       SET      39     -0.10388   -0.0047905      0.12398      0.79894 WP_DNA_REPLICATION
WP_PYRIMIDINE_METABOLISM                 SET      79    -0.087369   -0.0057282     0.090494      0.83284 WP_PYRIMIDINE_METABOLISM
WP_VITAMIN_B12_METABOLISM                SET      50    -0.057787   -0.0030165      0.11683      0.68956 WP_VITAMIN_B12_METABOLISM
WP_ANGIOPOIETIN_LIKE_PROTEIN...          SET     128     0.084223    0.0070194     0.074539      0.12927 WP_ANGIOPOIETIN_LIKE_PROTEIN_8_REGULATORY_PATHWAY
WP_DNA_DAMAGE_RESPONSE                   SET      66     0.055372    0.0033194     0.098636      0.28727 WP_DNA_DAMAGE_RESPONSE
WP_OXIDATIVE_DAMAGE                      SET      38      0.18258    0.0083116       0.1538      0.11759 WP_OXIDATIVE_DAMAGE
WP_SPINAL_CORD_INJURY                    SET     117     -0.07606   -0.0060623     0.077319      0.83736 WP_SPINAL_CORD_INJURY
WP_PHASE_I_BIOTRANSFORMATION...          SET       8     -0.23124   -0.0048339      0.37791      0.72969 WP_PHASE_I_BIOTRANSFORMATIONS_NON_P450
WP_NICOTINE_ACTIVITY_ON_DOPA...          SET      21       0.1047    0.0035448      0.17707      0.27717 WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS
WP_BENZOAPYRENE_METABOLISM               SET       9     -0.51034    -0.011315      0.32901      0.93955 WP_BENZOAPYRENE_METABOLISM
WP_PI3KAKTMTOR_VITD3_SIGNALL...          SET      21     0.045758    0.0015492      0.18382      0.40171 WP_PI3KAKTMTOR_VITD3_SIGNALLING
WP_IL1_SIGNALING_PATHWAY                 SET      52    0.0047873   0.00025484      0.10634      0.48205 WP_IL1_SIGNALING_PATHWAY
WP_GASTRIC_CANCER_NETWORK_1              SET      28    0.0074576    0.0002915      0.14307      0.47921 WP_GASTRIC_CANCER_NETWORK_1
WP_CYTOSINE_METHYLATION                  SET       8      0.58891     0.012311      0.26602     0.013429 WP_CYTOSINE_METHYLATION
WP_COPPER_HOMEOSTASIS                    SET      50     0.083034    0.0043345      0.12055      0.24548 WP_COPPER_HOMEOSTASIS
WP_KIT_RECEPTOR_SIGNALING_PA...          SET      56    -0.063125   -0.0034867       0.1121      0.71332 WP_KIT_RECEPTOR_SIGNALING_PATHWAY
WP_TGFBETA_RECEPTOR_SIGNALING            SET      53      0.15115    0.0081229       0.1192       0.1024 WP_TGFBETA_RECEPTOR_SIGNALING
WP_VITAMIN_D_METABOLISM                  SET      10    -0.010858  -0.00025376      0.25574      0.51693 WP_VITAMIN_D_METABOLISM
